"incident_id","subject_name","claimant_name","gender","date_of_disappearance","location_last_seen","relation_to_missing_person","contact_email","phone_number","claim_submission_date","claim_description","status","created_at","load_date","source_system","record_type","original_table","has_match","match_type","similarity_score","matched_subject_name","field_report_name","report_phone","report_contact_details","report_location","report_description","anonymised_description","raw_text"
"57c4e2c3-0878-4ef0-9cac-fa548702f4ad","Yusuf Rahimi","Amina Riggs","FEMALE",2021-03-13,"Mosul, Iraq","uncle",NA,"+14657770612",2024-11-25,"I last saw Yusuf Rahimi near Mosul, Iraq while fleeing the conflict. We got separated during the chaos.","injured",2025-08-19 06:17:40.732,2025-08-19,"csv_direct_merge_v2","claim","missing_persons_claim",TRUE,"FUZZY",69.5652173913043,"Sami Rahimi","field_report_6.pdf","+14657770612","null","Idlib","Sami Rahimi was taken by armed groups around Idlib, Syria. No news has come since then.","[PERSON] was taken by armed groups around [LOC], [LOC]. No news has come since then.","## FIELD REPORT

Report Date: 30 July 2024

Officer:

Department: Field Operations Unit

Subject: Confirmation of Injury

On 30 July 2024, official communication was received from military unit in Kelleyside confirming the injury of:

Name: Sami Rahimi

Details:

Sami Rahimi was taken by armed groups around Idlib, Syria. No news has come since then.

Report submitted by:

Contact: +1-465-777-0612x988"
"b99b70d6-bc6a-48a7-be33-2380b7aa53b6","Noor Karimi","Hassan James","MALE",2023-04-24,"Idlib, Syria","sister",NA,"+11226008228",2025-03-17,"My relative Noor Karimi was with me when we crossed Idlib, Syria. She disappeared shortly after.","evacuated",2025-08-19 06:17:40.732,2025-08-19,"csv_direct_merge_v2","claim","missing_persons_claim",TRUE,"EXACT",100,"Noor Karimi","field_report_2.pdf","+11226008228","122.600.8228x3774","Aleppo","My relative Noor Karimi was with me when we crossed Aleppo, Syria. She disappeared shortly after.","My relative [PERSON] was with me when we crossed [LOC], [LOC]. She disappeared shortly after.","## FIELD REPORT

Report Date: 15 July 2025

Officer:

Department: Field Operations Unit

Subject: Confirmation of Evacuation

On  15  July  2025,  official  communication  was  received  from  medical  officer  in      confirming  the

evacuation of:

Name: Noor Karimi

Details:

My relative Noor Karimi was with me when we crossed Aleppo, Syria. She disappeared shortly after.

Report submitted by:

Contact: 122.600.8228x3774"
"01d96e96-01a0-4047-94aa-3ca37ca9e68f","Fatemeh Bakhtiari","Sami White","MALE",2020-12-16,"Tehran, Iran","uncle",NA,"+17544584741",2024-09-06,"I last saw Fatemeh Bakhtiari near Tehran, Iran while fleeing the conflict. We got separated during the chaos.","detained",2025-08-19 06:17:40.732,2025-08-19,"csv_direct_merge_v2","claim","missing_persons_claim",TRUE,"FUZZY",85.5,"Fatemeh Al","field_report_22.pdf","+17544584741","null","Kandahar","I  last  saw  Fatemeh  Al-Mansour  near  Kandahar,  Afghanistan  while  fleeing  the  conflict.  We  got separated during the chaos.","I last saw [PERSON] near [LOC], [LOC] while fleeing the conflict. We got separated during the chaos.","## FIELD REPORT

Report Date: 20 April 2025

Officer:

Department: Field Operations Unit

Subject: Confirmation of Detention

On 20 April 2025, official communication was received from medical officer in berg confirming the

detention of:

Name: Fatemeh Al

Details:

I  last  saw  Fatemeh  Al-Mansour  near  Kandahar,  Afghanistan  while  fleeing  the  conflict.  We  got separated during the chaos.

Report submitted by:

Contact: 754.458.4741x340"
"7f29c9e7-5601-46a5-b4b6-685dacd4180a","Huda Farahani","Yasmin Shaw","FEMALE",2023-11-01,"Mosul, Iraq","child",NA,"+61404240255",2025-05-05,"I last saw Huda Farahani near Mosul, Iraq while fleeing the conflict. We got separated during the chaos.","confirmed_death",2025-08-19 06:17:40.732,2025-08-19,"csv_direct_merge_v2","claim","missing_persons_claim",TRUE,"FUZZY",85.5,"Huda El","field_report_33.pdf","+61404240255","null","Mosul","Huda El-Sayed was taken by armed groups around Mosul, Iraq. No news has come since then.","[PERSON] El-Sayed was taken by armed groups around [LOC],. No news has come since then.","## FIELD REPORT

Report Date: 17 September 2023

Officer: Mark Bryan

Department: Field Operations Unit

Subject: Confirmation of Death

On 17 September 2023, official communication was received from local police in Port  confirming the

death of:

Name: Huda El

Details:

Huda El-Sayed was taken by armed groups around Mosul, Iraq. No news has come since then.

Report submitted by: Gregory Middleton

Contact: 041 0424 0255"
"651a6277-017f-419f-8496-179588ccddbc","Omar Shirazi","Omar Wilson","MALE",2021-04-23,"Kirkuk, Iraq","cousin",NA,"+11080153374",2025-01-16,"Omar Shirazi was taken by armed groups around Kirkuk, Iraq. No news has come since then.","detained",2025-08-19 06:17:40.732,2025-08-19,"csv_direct_merge_v2","claim","missing_persons_claim",TRUE,"FUZZY",83.3333333333333,"Noor Shirazi","field_report_38.pdf","+11080153374","emails and URLs not provided","Homs","I  last  saw  Noor  Shirazi  near  Homs,  Syria  while  fleeing  the  conflict.  We  got  separated  during  the chaos.","I last saw [PERSON] near [LOC] while fleeing the conflict. We got separated during the chaos.","## FIELD REPORT

Report Date: 20 November 2023

Officer:

Department: Field Operations Unit

Subject: Confirmation of Detention

On 20 November 2023, official communication was received from military unit in East  confirming the detention of:

Name: Noor Shirazi

Details:

I  last  saw  Noor  Shirazi  near  Homs,  Syria  while  fleeing  the  conflict.  We  got  separated  during  the chaos.

Report submitted by:

Contact: 001-108-015-3374x35670"
"f2b5a7ea-2a35-4e30-b03c-b04bc0079336","Farhad Jalali","Layla Meadows","FEMALE",2024-01-13,"Deir ez-Zor, Syria","spouse",NA,"+16164170053",2025-02-28,"I last saw Farhad Jalali near Deir ez-Zor, Syria while fleeing the conflict. We got separated during the chaos.","confirmed_death",2025-08-19 06:17:40.732,2025-08-19,"csv_direct_merge_v2","claim","missing_persons_claim",TRUE,"EXACT",100,"Farhad Jalali","field_report_7.pdf","+16164170053","null","Mosul","Farhad Jalali was last seen helping others escape near Mosul, Iraq. There have been no updates since.","[PERSON] was last seen helping others escape near [LOC],. There have been no updates since.","## FIELD REPORT

Report Date: 14 November 2024

Officer:

Department: Field Operations Unit

Subject: Confirmation of Death

On 14 November 2024, official communication was received from local police in   confirming the

death of:

Name: Farhad Jalali

Details:

Farhad Jalali was last seen helping others escape near Mosul, Iraq. There have been no updates since.

Report submitted by: Rebecca Taylor

Contact: (616)417-0053"
"0bf2fb51-c4f5-403e-9af1-128cc8ee46bf","Layla Jalali","Layla Carrillo","FEMALE",2022-12-13,"Kirkuk, Iraq","uncle",NA,"+18866905946",2025-05-22,"Layla Jalali was taken by armed groups around Kirkuk, Iraq. No news has come since then.","detained",2025-08-19 06:17:40.732,2025-08-19,"csv_direct_merge_v2","claim","missing_persons_claim",TRUE,"FUZZY",75,"Nadia Jalali","field_report_28.pdf","+18866905946","null","Tehran","Nadia Jalali was taken by armed groups around Tehran, Iran. No news has come since then.","[PERSON] was taken by armed groups around [LOC], [LOC]. No news has come since then.","## FIELD REPORT

Report Date: 02 July 2024

Officer:

Department: Field Operations Unit

Subject: Confirmation of Detention

On 02 July 2024, official communication was received from local police in    confirming the detention of:

Name: Nadia Jalali

Details:

Nadia Jalali was taken by armed groups around Tehran, Iran. No news has come since then.

Report submitted by:

Contact: (886)690-5946"
"69ce1e4e-19a6-42c9-8d70-0ea43b9b2d45","Karim Bakhtiari","Samira Rivera","FEMALE",2022-08-03,"Deir ez-Zor, Syria","father",NA,"+14160199198",2025-07-06,"My relative Karim Bakhtiari was with me when we crossed Deir ez-Zor, Syria. She disappeared shortly after.","confirmed_death",2025-08-19 06:17:40.732,2025-08-19,"csv_direct_merge_v2","claim","missing_persons_claim",TRUE,"FUZZY",85.5,"Karim El","field_report_9.pdf","+14160199198","null","Homs","We lost contact with Karim El-Sayed in Homs, Syria. I fear she may have been detained or worse.","We lost contact with [PERSON] in [LOC], [LOC]. I fear [PERSON] may have been detained or worse.","## FIELD REPORT

Report Date: 26 October 2024

Officer: Yesenia Anderson

Department: Field Operations Unit

Subject: Confirmation of Death

On 26 October 2024, official  communication  was  received  from  border  patrol  in      confirming  the

death of:

Name: Karim El

Details:

We lost contact with Karim El-Sayed in Homs, Syria. I fear she may have been detained or worse.

Report submitted by: Cynthia Watson

Contact: +1-416-019-9198x48087"
"c8edabdd-4ef0-4f80-9d91-fe39d8014004","Nadia Karimi","Amina Sanders","FEMALE",2022-08-29,"Idlib, Syria","aunt",NA,"+19695794575",2025-05-20,"My relative Nadia Karimi was with me when we crossed Idlib, Syria. She disappeared shortly after.","confirmed_death",2025-08-19 06:17:40.732,2025-08-19,"csv_direct_merge_v2","claim","missing_persons_claim",TRUE,"FUZZY",80,"Samira Karimi","field_report_39.pdf","+19695794575","null","Idlib","Samira Karimi was taken by armed groups around Idlib, Syria. No news has come since then.","[PERSON] was taken by armed groups around [LOC], [LOC]. No news has come since then.","## FIELD REPORT

Report Date: 09 November 2023

Officer:

Department: Field Operations Unit

Subject: Confirmation of Death

On 09 November 2023, official communication was received from medical officer in burgh confirming the death of:

Name: Samira Karimi

Details:

Samira Karimi was taken by armed groups around Idlib, Syria. No news has come since then.

Report submitted by:

Contact: (969)579-4575x959"
"1e2c2e7d-502c-40ee-a24a-66a6ac0f6801","Farhad Nasseri","Zahra Allen","FEMALE",2021-01-28,"Tehran, Iran","father",NA,"+17819214749",2025-02-04,"Farhad Nasseri was last seen helping others escape near Tehran, Iran. There have been no updates since.","confirmed_death",2025-08-19 06:17:40.732,2025-08-19,"csv_direct_merge_v2","claim","missing_persons_claim",TRUE,"FUZZY",76.9230769230769,"Amir Nasseri","field_report_20.pdf","+17819214749","null","Mosul","Amir Nasseri was last seen helping others escape near Mosul, Iraq. There have been no updates","[PERSON] was last seen helping others escape near [LOC],. There have been no updates","## FIELD REPORT

Report Date: 21 November 2024

Officer:

Department: Field Operations Unit

Subject: Confirmation of Death

On 21 November 2024, official communication was received from medical officer in   confirming the

death of:

Name: Amir Nasseri

Details:

Amir Nasseri was last seen helping others escape near Mosul, Iraq. There have been no updates

since.

Report submitted by: Ronald Carson

Contact: 781.921.4749x84746"
